Subject,manipulation,Manipulation,Stimulation,Session,VisualF,Response,StartTime
S19,UL,Attended Visual Field,Active,Pre,Left,0.7647058823529411,304.8446653137245
S20,UL,Attended Visual Field,Active,Pre,Left,0.45098039215686275,316.7463362117648
S20,UL,Ignored Visual Field,Active,Pre,Right,0.7090909090909091,281.3952258763637
S21,Bi,Control,Active,Pre,Left,0.734375,289.6773997905184
S21,Bi,Control,Active,Pre,Right,0.6875,311.9942616936557
S22,Bi,Control,Active,Pre,Right,0.7796610169491526,307.16232642881084
S22,Bi,Control,Active,Pre,Left,0.6415094339622641,286.28254743773306
S23,Bi,Control,Active,Pre,Left,0.7547169811320755,300.11792979811173
S23,Bi,Control,Active,Pre,Right,0.7547169811320755,299.27703546603635
S24,Bi,Control,Active,Pre,Left,0.660377358490566,311.13671743207203
S24,Bi,Control,Active,Pre,Right,0.5689655172413793,292.6250863586139
S25,UR,Ignored Visual Field,Active,Pre,Left,0.75,314.22090548750015
S25,UR,Attended Visual Field,Active,Pre,Right,0.6363636363636364,276.50730820545465
S26,UR,Ignored Visual Field,Active,Pre,Left,0.75,308.69332409614213
S26,UR,Attended Visual Field,Active,Pre,Right,0.6595744680851063,266.1079291233922
S27,UR,Ignored Visual Field,Active,Pre,Left,0.6153846153846154,277.8776100884587
S27,UR,Attended Visual Field,Active,Pre,Right,0.509090909090909,321.42516454544915
S28,UL,Ignored Visual Field,Active,Pre,Right,0.7954545454545454,280.53301693409594
S28,UL,Attended Visual Field,Active,Pre,Left,0.7307692307692307,295.39073995769456
S29,UL,Ignored Visual Field,Active,Pre,Right,0.56,304.48967016200015
S29,UL,Attended Visual Field,Active,Pre,Left,0.7142857142857143,291.2912136775511
S30,UR,Ignored Visual Field,Active,Pre,Left,0.7755102040816326,299.98389736734697
S30,UR,Attended Visual Field,Active,Pre,Right,0.7678571428571429,288.66729990357146
S31,Bi,Control,Active,Pre,Left,0.6727272727272727,306.7214890454541
S31,Bi,Control,Active,Pre,Right,0.7586206896551724,287.6512706206892
S32,UL,Ignored Visual Field,Active,Pre,Right,0.8163265306122449,313.24511177551324
S32,UL,Attended Visual Field,Active,Pre,Left,0.7037037037037037,286.60291365741165
S33,Bi,Control,Active,Pre,Left,0.6346153846153846,320.53809896346104
S33,Bi,Control,Active,Pre,Right,0.6226415094339622,281.4888274245278
S34,UL,Attended Visual Field,Active,Pre,Left,0.7916666666666666,314.6403853395993
S34,UL,Ignored Visual Field,Active,Pre,Right,0.6181818181818182,269.97370143638165
S35,Bi,Control,Active,Pre,Left,0.6896551724137931,277.9948768862152
S35,Bi,Control,Active,Pre,Right,0.7777777777777778,319.433196122231
S36,UR,Attended Visual Field,Active,Pre,Right,0.576271186440678,316.0213621474834
